date	by-2.0	by-nc-2.0	by-nc-nd-2.0	by-nc-sa-2.0	by-nd-2.0	by-sa-2.0
2007-02-04	3306900	4113475	10234031	8204143	1032307	2280088
2007-02-05	3315900	4131425	10260513	8230213	1037088	2281511
2007-02-06	3323183	4141290	10301294	8242102	1044729	2287290
2007-02-07	3329543	4156272	10314242	8250362	1050851	2293040
2007-02-08	3321292	4164043	10324163	8268500	1050666	2297008
2007-02-09	3325921	4175365	10350920	8286051	1052435	2300522
2007-02-10	3329992	4181480	10358979	8302101	1055244	2303193
2007-02-11	3338452	4192528	10377067	8318474	1055975	2306757
2007-02-12	3347707	4204858	10415237	8338562	1060278	2314368
2007-02-13	3358899	4213980	10453986	8354480	1062355	2318749
2007-02-14	3365221	4215829	10474037	8377118	1064089	2321173
2007-02-15	3374460	4225880	10505544	8393009	1065991	2325642
2007-02-16	3382327	4229523	10540523	8416280	1062640	2327070
2007-02-17	3388243	4238651	10563847	8428957	1063880	2330793
2007-02-18	3396799	4246864	10596512	8445143	1065185	2336301
2007-02-19	3403318	4260477	10626073	8471501	1068275	2341625
2007-02-20	3411814	4266680	10643676	8488882	1073018	2347487
2007-02-21	3416591	4266680	10674874	8507814	1074910	2352196
2007-02-22	3425601	4284373	10701676	8519362	1076524	2360530
2007-02-23	3429887	4291023	10732270	8533349	1078763	2364010
2007-02-24	3438508	4295555	10747847	8549827	1082128	2366321
2007-02-25	3445617	4305639	10772394	8572189	1085229	2373900
2007-02-26	3455065	4316858	10806643	8594136	1087056	2381970
2007-02-27	3461885	4326560	10826557	8608603	1089753	2388715
2007-02-28	3470522	4335511	10849231	8622893	1091470	2395628
2007-03-01	3469514	4342936	10879372	8635994	1094260	2398179
2007-03-02	3472702	4352239	10893473	8650489	1094950	2404230
2007-03-03	3476791	4357062	10902603	8660009	1098039	2409243
2007-03-04	3482902	4366242	10932316	8680310	1103091	2412700
2007-03-05	3489211	4375456	10973535	8702128	1107186	2420293
2007-03-06	3495647	4382408	10987453	8722088	1110542	2425583
2007-03-07	3494621	4390117	11008561	8732655	1111914	2428717
2007-03-08	3501200	4395209	11035556	8741600	1114469	2431350
2007-03-09	3509629	4404172	11046378	8755524	1115481	2433232
2007-03-10	3516748	4409331	11058764	8767970	1116621	2435123
2007-03-11	3528187	4421200	11097065	8794114	1120128	2441832
2007-03-12	3538689	4436591	11125718	8821967	1123120	2447359
2007-03-13	3550229	4446037	11152423	8834173	1127199	2452322
2007-03-14	3560355	4454342	11170749	8851364	1129517	2454617
2007-03-15	3565011	4465937	11185248	8866537	1129195	2462935
2007-03-16	3578600	4477682	11211663	8883280	1138969	2470320
2007-03-17	3587226	4494042	11228328	8912039	1145294	2474171
